iter	RMSE
0	1.584901424
1	1.522243806
2	1.472947433
3	1.428736094
4	1.391304423
5	1.35783267
6	1.327647147
7	1.301381653
8	1.277476972
9	1.252167975
10	1.230120972
11	1.207584108
12	1.1888365
13	1.17077798
14	1.151173281
15	1.135725765
16	1.122043269
17	1.107647493
18	1.093427476
19	1.082316595
20	1.071148556
21	1.058586684
22	1.047777372
23	1.037769426
24	1.027567425
25	1.018752405
26	1.010138
27	1.002087477
28	0.9933307052
29	0.986212704
30	0.9782754014
31	0.9702339047
32	0.9630163804
33	0.9558137355
34	0.9446404991
35	0.9360426463
36	0.9295898625
37	0.9231627182
38	0.9178921913
39	0.9119356942
40	0.903252374
41	0.8979806915
42	0.892783325
43	0.8878633044
44	0.8819927451
45	0.8776583796
46	0.8732780442
47	0.8686937823
48	0.8650714624
49	0.859603302
50	0.8528521024
51	0.8491138112
52	0.8455363275
53	0.8419289494
54	0.837863831
55	0.8348020002
56	0.8298642096
57	0.8269207532
58	0.8239081136
59	0.8171385276
60	0.8134346178
61	0.8108679924
62	0.8050889987
63	0.8011179128
64	0.7965653565
65	0.7937436454
66	0.7911244714
67	0.7887306753
68	0.7859753324
69	0.7828357524
70	0.7785782596
71	0.7748875663
72	0.7728400543
73	0.7697029559
74	0.7674158816
75	0.765355605
76	0.763507014
77	0.7611059048
78	0.7593894837
79	0.7573639405
80	0.7546843971
81	0.7525875226
82	0.7503312601
83	0.7485921279
84	0.7465992193
85	0.7447405346
86	0.7423228532
87	0.7404047891
88	0.7389125251
89	0.7365119837
90	0.734744887
91	0.7332733017
92	0.731194664
93	0.7294895512
94	0.7280050656
95	0.7267599471
96	0.7248631443
97	0.721938622
98	0.7198854799
99	0.7183761005
100	0.7164478607
101	0.7145256676
102	0.7132548103
103	0.7120006803
104	0.710473782
105	0.7086111849
106	0.7071332886
107	0.7053370835
108	0.7036285978
109	0.702464396
110	0.7011372453
111	0.7000538942
112	0.6990535732
113	0.6965126744
114	0.695396607
115	0.6941922171
116	0.6930467693
117	0.691848469
118	0.6904157294
119	0.6892061115
120	0.6883142094
121	0.6874532016
122	0.6859322631
123	0.6849551542
124	0.6833639578
125	0.6819517749
126	0.6803555806
127	0.6792616756
128	0.678260141
129	0.6772137715
130	0.6763238173
131	0.6748152951
132	0.6739368757
133	0.6718438381
134	0.6709824811
135	0.6696406718
136	0.6682979706
137	0.6671193986
138	0.666010615
139	0.6649412014
140	0.6639602751
141	0.662910524
142	0.661707167
143	0.6608334292
144	0.6597097946
145	0.6589092934
146	0.6583116427
147	0.6571743855
148	0.6562207432
149	0.6551895315
150	0.6544526909
151	0.6534965494
152	0.6527600958
153	0.6513314906
154	0.6501229048
155	0.6493465206
156	0.6481828193
157	0.6473740612
158	0.6465434695
159	0.6458201858
160	0.6453106009
161	0.6441316645
162	0.6433752605
163	0.6426812418
164	0.641865587
165	0.6411294648
166	0.6404016551
167	0.6395997129
168	0.6381962111
169	0.6373451612
170	0.6363684716
171	0.6356857985
172	0.6349978526
173	0.6338797209
174	0.632901593
175	0.6322152864
176	0.6316235578
177	0.6307693754
178	0.6299913178
179	0.629310422
180	0.6286755709
181	0.6278912909
182	0.6274244531
183	0.6268341257
184	0.6261130549
185	0.6257239753
186	0.6249843899
187	0.6244623015
188	0.6235603242
189	0.6225910335
190	0.6216491859
191	0.6210929113
192	0.6202326756
193	0.6195391565
194	0.61854782
195	0.6179266563
196	0.6174898586
197	0.6169900566
198	0.6164068347
199	0.6159762934
200	0.6152822726
201	0.6145481014
202	0.6136708018
203	0.6130254344
204	0.612297261
205	0.6118385196
206	0.6112520775
207	0.61061227
208	0.609951229
209	0.6094005776
210	0.6090206898
211	0.6086898857
212	0.6081033894
213	0.6076451363
214	0.6071182343
215	0.6062874951
216	0.6055792082
217	0.6049118021
218	0.6043660863
219	0.6037531474
220	0.6032797188
221	0.6026956413
222	0.6022180019
223	0.6016750314
224	0.6011089822
225	0.6006539951
226	0.5998670498
227	0.5995032904
228	0.5989972166
229	0.5984029141
230	0.5981052946
231	0.597577913
232	0.5969919982
233	0.5963612407
234	0.5956648797
235	0.5950783331
236	0.5947617246
237	0.594356469
238	0.5936097865
239	0.5930955275
240	0.592512636
241	0.5920112797
242	0.5914609441
243	0.5911022757
244	0.5907659701
245	0.5902616603
246	0.5898736757
247	0.5894657188
248	0.5889493613
249	0.5886333228
250	0.5882160902
251	0.5877771459
252	0.5873776407
253	0.5867527325
254	0.5862834812
255	0.5857565759
256	0.5854054709
