iter	Passed	Remaining
0	75	75266
1	86	42958
2	96	31973
3	105	26389
4	115	22885
5	124	20639
6	135	19185
7	144	17957
8	155	17154
9	166	16460
10	177	15914
11	187	15466
12	197	14983
13	208	14675
14	218	14336
15	230	14182
16	242	14047
17	256	13968
18	268	13878
19	282	13819
20	293	13668
21	305	13570
22	316	13437
23	327	13330
24	338	13200
25	349	13101
26	360	12983
27	371	12898
28	383	12851
29	394	12744
30	404	12657
31	413	12519
32	423	12424
33	433	12309
34	442	12206
35	453	12153
36	463	12053
37	472	11974
38	481	11866
39	491	11795
40	501	11725
41	510	11654
42	519	11571
43	529	11495
44	539	11447
45	548	11371
46	557	11300
47	567	11247
48	576	11183
49	586	11136
50	596	11094
51	605	11039
52	614	10983
53	624	10947
54	636	10941
55	646	10903
56	656	10868
57	667	10842
58	677	10807
59	689	10805
60	699	10763
61	709	10727
62	720	10718
63	731	10696
64	742	10681
65	753	10663
66	764	10645
67	774	10618
68	787	10628
69	800	10634
70	810	10605
71	820	10571
72	830	10542
73	841	10534
74	852	10512
75	862	10486
76	873	10470
77	883	10443
78	892	10403
79	905	10408
80	915	10386
81	925	10361
82	936	10347
83	945	10313
84	955	10290
85	965	10263
86	976	10244
87	987	10231
88	997	10211
89	1009	10211
90	1021	10204
91	1032	10187
92	1042	10163
93	1053	10149
94	1063	10128
95	1072	10101
96	1083	10082
97	1095	10081
98	1105	10063
99	1116	10047
100	1126	10025
101	1137	10014
102	1148	10000
103	1157	9972
104	1168	9961
105	1179	9947
106	1191	9948
107	1203	9936
108	1215	9933
109	1226	9923
110	1237	9912
111	1248	9896
112	1258	9875
113	1268	9856
114	1279	9844
115	1290	9831
116	1301	9820
117	1310	9798
118	1321	9783
119	1333	9777
120	1342	9756
121	1350	9721
122	1361	9707
123	1371	9686
124	1381	9673
125	1392	9662
126	1405	9659
127	1416	9648
128	1425	9626
129	1437	9621
130	1446	9592
131	1457	9583
132	1467	9564
133	1475	9538
134	1484	9509
135	1492	9482
136	1503	9470
137	1513	9453
138	1521	9425
139	1531	9407
140	1540	9384
141	1549	9363
142	1559	9345
143	1567	9320
144	1576	9296
145	1586	9280
146	1595	9259
147	1606	9245
148	1616	9231
149	1626	9217
150	1636	9202
151	1646	9186
152	1657	9173
153	1665	9151
154	1676	9141
155	1686	9123
156	1698	9117
157	1712	9128
158	1724	9121
159	1736	9116
160	1745	9093
161	1754	9078
162	1765	9065
163	1776	9054
164	1786	9042
165	1796	9023
166	1806	9008
167	1815	8991
168	1824	8972
169	1834	8956
170	1845	8944
171	1855	8933
172	1864	8914
173	1874	8897
174	1883	8880
175	1893	8865
176	1903	8850
177	1912	8833
178	1921	8810
179	1931	8797
180	1942	8788
181	1953	8779
182	1964	8769
183	1975	8761
184	1988	8758
185	1997	8742
186	2008	8732
187	2020	8727
188	2032	8723
189	2044	8715
190	2054	8704
191	2066	8698
192	2076	8682
193	2087	8674
194	2100	8670
195	2110	8659
196	2120	8643
197	2129	8623
198	2138	8607
199	2147	8588
200	2155	8569
201	2166	8559
202	2175	8543
203	2185	8528
204	2195	8515
205	2205	8499
206	2215	8487
207	2225	8472
208	2236	8463
209	2246	8451
210	2257	8441
211	2266	8423
212	2277	8416
213	2287	8401
214	2298	8391
215	2310	8385
216	2320	8372
217	2331	8362
218	2340	8346
219	2351	8338
220	2362	8327
221	2374	8320
222	2386	8314
223	2396	8301
224	2407	8292
225	2419	8284
226	2430	8275
227	2440	8263
228	2450	8248
229	2460	8236
230	2471	8227
231	2481	8214
232	2492	8204
233	2503	8193
234	2513	8181
235	2523	8170
236	2532	8154
237	2544	8147
238	2556	8141
239	2567	8131
240	2579	8122
241	2588	8108
242	2599	8098
243	2610	8086
244	2618	8070
245	2629	8060
246	2640	8049
247	2651	8040
248	2664	8035
249	2674	8024
250	2685	8012
251	2694	7999
252	2704	7986
253	2713	7968
254	2725	7963
255	2737	7954
256	2746	7941
257	2757	7929
258	2769	7923
259	2779	7911
260	2789	7896
261	2798	7884
262	2807	7866
263	2815	7850
264	2825	7835
265	2834	7821
266	2843	7805
267	2852	7791
268	2861	7777
269	2871	7763
270	2881	7751
271	2890	7737
272	2901	7726
273	2911	7715
274	2920	7699
275	2929	7683
276	2938	7668
277	2947	7655
278	2956	7640
279	2964	7623
280	2973	7608
281	2982	7592
282	2991	7580
283	3000	7565
284	3008	7548
285	3017	7533
286	3026	7518
287	3036	7506
288	3046	7495
289	3056	7484
290	3066	7470
291	3074	7453
292	3083	7440
293	3092	7426
294	3101	7413
295	3111	7399
296	3119	7384
297	3128	7368
298	3137	7356
299	3148	7347
300	3157	7331
301	3167	7319
302	3175	7303
303	3185	7293
304	3196	7284
305	3205	7271
306	3215	7257
307	3225	7247
308	3235	7235
309	3246	7226
310	3255	7212
311	3263	7197
312	3273	7184
313	3283	7173
314	3294	7163
315	3303	7150
316	3311	7135
317	3321	7124
318	3330	7110
319	3341	7101
320	3350	7088
321	3359	7074
322	3370	7065
323	3380	7052
324	3390	7042
325	3399	7029
326	3410	7018
327	3418	7004
328	3427	6990
329	3436	6976
330	3446	6966
331	3455	6952
332	3464	6939
333	3474	6927
334	3484	6917
335	3492	6902
336	3502	6890
337	3511	6878
338	3520	6863
339	3528	6849
340	3538	6838
341	3548	6826
342	3556	6811
343	3565	6798
344	3575	6787
345	3583	6774
346	3593	6763
347	3602	6748
348	3611	6736
349	3619	6722
350	3629	6710
351	3639	6700
352	3649	6689
353	3659	6677
354	3667	6663
355	3676	6650
356	3684	6636
357	3692	6622
358	3701	6609
359	3712	6599
360	3721	6586
361	3731	6577
362	3740	6563
363	3748	6549
364	3756	6535
365	3765	6522
366	3775	6511
367	3784	6498
368	3793	6487
369	3803	6475
370	3812	6463
371	3821	6450
372	3831	6441
373	3843	6432
374	3851	6419
375	3861	6409
376	3873	6400
377	3885	6393
378	3894	6381
379	3904	6370
380	3913	6358
381	3922	6346
382	3931	6333
383	3940	6321
384	3949	6309
385	3957	6295
386	3966	6283
387	3977	6273
388	3987	6263
389	3996	6251
390	4007	6241
391	4017	6230
392	4027	6219
393	4036	6207
394	4045	6196
395	4055	6185
396	4065	6175
397	4077	6167
398	4087	6157
399	4097	6146
400	4107	6136
401	4117	6125
402	4126	6112
403	4135	6101
404	4145	6090
405	4154	6078
406	4162	6064
407	4172	6053
408	4181	6042
409	4190	6029
410	4199	6017
411	4209	6007
412	4218	5996
413	4227	5983
414	4236	5971
415	4245	5959
416	4257	5951
417	4268	5942
418	4278	5932
419	4286	5920
420	4297	5910
421	4308	5901
422	4319	5891
423	4327	5879
424	4338	5869
425	4347	5857
426	4356	5845
427	4365	5834
428	4375	5823
429	4385	5812
430	4393	5800
431	4404	5791
432	4415	5781
433	4423	5768
434	4432	5757
435	4441	5745
436	4451	5734
437	4462	5726
438	4471	5713
439	4480	5702
440	4489	5690
441	4498	5679
442	4508	5668
443	4516	5656
444	4526	5645
445	4536	5634
446	4547	5625
447	4556	5613
448	4564	5601
449	4574	5590
450	4584	5580
